127.0.0.1 - - [27/Mar/2025:16:10:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:10:49 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:10:49 +0900] "GET /InputPractice/css/style.css HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:10:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:10:56 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:10:56 +0900] "GET /InputPractice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:01 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:01 +0900] "GET /InputPractice/css/style.css HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:02 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:02 +0900] "GET /InputPractice/css/style.css HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:02 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:02 +0900] "GET /InputPractice/css/style.css HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:02 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:02 +0900] "GET /InputPractice/css/style.css HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:14 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:14 +0900] "GET /InputPractice/css/style.css HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:15 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:15 +0900] "GET /InputPractice/css/style.css HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:24 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:24 +0900] "GET /InputPractice/css/style.css HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:25 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:25 +0900] "GET /InputPractice/css/style.css HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:25 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:25 +0900] "GET /InputPractice/css/style.css HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2025:16:11:25 +0900] "GET /InputPractice/index.jsp HTTP/1.1" 200 500
